ward name,local authority code,Borough,All usual residents,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
City of London (aggregated),E09000001,City of London,8586,2981,94,203,180,538,8,54,3762,766
Abbey,E09000002,Barking and Dagenham,3962,1355,28,728,2,1060,160,23,388,218
Alibon,E09000002,Barking and Dagenham,9883,5114,26,154,8,1661,58,21,2247,594
Barking Riverside,E09000002,Barking and Dagenham,10066,4882,46,209,4,2560,79,50,1698,538
Beam,E09000002,Barking and Dagenham,8355,4551,30,141,10,1615,148,34,1362,464
Becontree,E09000002,Barking and Dagenham,9793,4021,39,286,11,2796,345,52,1678,565
Chadwell Heath,E09000002,Barking and Dagenham,13829,5994,46,550,37,3259,541,68,2599,735
Eastbrook & Rush Green,E09000002,Barking and Dagenham,8746,4497,39,188,17,1089,104,23,2309,480
Eastbury,E09000002,Barking and Dagenham,15729,7319,63,302,22,3818,226,57,3063,859
Gascoigne,E09000002,Barking and Dagenham,10711,4401,65,321,20,3679,198,34,1434,559
Goresbrook,E09000002,Barking and Dagenham,13691,7206,68,173,15,2170,41,32,3260,726
Heath,E09000002,Barking and Dagenham,9119,4631,35,186,1,1554,57,42,2144,469
Longbridge,E09000002,Barking and Dagenham,13302,3508,43,463,10,6858,539,34,1160,687
Mayesbrook,E09000002,Barking and Dagenham,15623,7598,61,342,16,3214,167,99,3233,893
Northbury,E09000002,Barking and Dagenham,13192,4936,41,582,7,5160,355,45,1333,733
Parsloes,E09000002,Barking and Dagenham,15156,7638,30,247,19,2511,94,99,3667,851
Thames View,E09000002,Barking and Dagenham,5642,2463,22,77,7,1721,85,17,932,318
Valence,E09000002,Barking and Dagenham,15242,6555,59,348,23,3125,395,69,3811,857
Village,E09000002,Barking and Dagenham,12639,6612,42,186,19,2137,98,89,2715,741
Whalebone,E09000002,Barking and Dagenham,14198,6077,45,1084,27,3401,590,96,2154,724
Barnet Vale,E09000003,Barnet,17068,7645,144,800,1204,1089,56,205,4665,1260
Brunswick Park,E09000003,Barnet,16140,7306,139,1050,602,1847,86,364,3537,1209
Burnt Oak,E09000003,Barnet,21585,10160,436,1466,231,4251,52,195,3244,1550
Childs Hill,E09000003,Barnet,19385,6002,262,723,3851,2514,44,187,3907,1895
Colindale North,E09000003,Barnet,12722,5458,224,499,175,3188,37,71,2178,892
Colindale South,E09000003,Barnet,19004,7063,299,1746,275,4256,84,178,3693,1410
Cricklewood,E09000003,Barnet,10410,4140,138,251,257,2865,14,68,1839,838
East Barnet,E09000003,Barnet,18084,8718,127,633,848,1531,51,233,4700,1243
East Finchley,E09000003,Barnet,16330,5961,131,616,1327,1568,34,191,5303,1199
Edgware,E09000003,Barnet,19763,5697,143,1707,5693,2312,63,517,2133,1498
Edgwarebury,E09000003,Barnet,12346,3612,151,894,3510,1493,29,246,1435,976
Finchley Church End,E09000003,Barnet,18825,5158,156,977,5675,1461,87,190,3530,1591
Friern Barnet,E09000003,Barnet,19076,7829,170,944,794,2293,122,222,5233,1469
Garden Suburb,E09000003,Barnet,12673,2701,107,360,5184,803,41,126,2267,1084
Golders Green,E09000003,Barnet,15142,2643,63,457,7533,877,35,78,1661,1795
Hendon,E09000003,Barnet,21966,6494,172,851,7153,2057,42,153,3039,2005
High Barnet,E09000003,Barnet,12023,5157,78,562,842,770,41,156,3522,895
Mill Hill,E09000003,Barnet,17825,5912,135,937,3828,2273,105,169,3094,1372
Totteridge & Woodside,E09000003,Barnet,14921,4659,205,1047,2802,1386,136,391,3028,1267
Underhill,E09000003,Barnet,12286,5893,128,550,326,1006,33,169,3323,858
West Finchley,E09000003,Barnet,19413,6500,277,1668,1785,1957,195,408,5064,1559
West Hendon,E09000003,Barnet,17256,6949,238,1589,1084,3212,31,215,2658,1280
Whetstone,E09000003,Barnet,10887,4760,88,761,956,896,34,162,2460,770
Woodhouse,E09000003,Barnet,14173,5904,165,1022,667,1739,70,270,3202,1134
